omm_id,nombre,elev,lat_dec,lon_dec,fecha_desde,fecha_hasta,valor
87719,Cipolletti,265.0,-38.941213,-67.978496,2024-03-21,2024-04-20,15.0
87736,Río Colorado,79.0,-38.991078,-64.087167,2024-03-21,2024-04-20,
87750,Bahía Blanca,83.0,-38.714736,-62.163042,2024-03-21,2024-04-20,88.6
87761,Chapelco Aero,779.0,-40.080534,-71.144188,2024-03-21,2024-04-20,21.3
87765,Bariloche Aero,840.0,-41.147484,-71.164298,2024-03-21,2024-04-20,38.0
87774,Maquinchao,888.0,-41.243899,-68.706484,2024-03-21,2024-04-20,3.6
87784,San Antonio Oeste Aero,20.0,-40.757158,-65.030935,2024-03-21,2024-04-20,27.8
87791,Viedma Aero,7.0,-40.86351,-63.006981,2024-03-21,2024-04-20,70.10000000000001
87800,El Bolsón Aero,337.0,-41.954068,-71.533944,2024-03-21,2024-04-20,39.0
87803,Esquel Aero,797.0,-42.905879,-71.145004,2024-03-21,2024-04-20,22.3
87814,Paso de Indios,460.0,-43.861786,-69.047428,2024-03-21,2024-04-20,1.1
87823,Puerto Madryn Aero,136.0,-42.755516,-65.101544,2024-03-21,2024-04-20,49.400000000000006
87828,Trelew Aero,43.0,-43.208936,-65.282087,2024-03-21,2024-04-20,59.5
87852,Perito Moreno Aero,429.0,-46.538022,-70.985341,2024-03-21,2024-04-20,5.0
87860,Comodoro Rivadavia Aero,46.0,-45.792298,-67.461942,2024-03-21,2024-04-20,12.3
87880,Gobernador Gregores Aero,357.0,-48.78237,-70.162683,2024-03-21,2024-04-20,2.0
87896,Puerto Deseado Aero,80.0,-47.733733,-65.907814,2024-03-21,2024-04-20,11.5
87904,El Calafate Aero,204.0,-50.284551,-72.051486,2024-03-21,2024-04-20,7.0
87909,San Julián Aero,62.0,-49.308199,-67.803187,2024-03-21,2024-04-20,4.0
87912,Puerto Santa Cruz Aero,111.0,-50.021752,-68.578876,2024-03-21,2024-04-20,0.4
87925,Río Gallegos Aero,19.0,-51.611559,-69.307984,2024-03-21,2024-04-20,30.0
87938,Ushuaia Aero,57.0,-54.840053,-68.303423,2024-03-21,2024-04-20,25.2
9987010,Reconquista INTA,42.0,-29.183,-59.866,2024-03-21,2024-04-20,
9987012,Zavalla U.N. Rosario,50.0,-33.02,-60.88,2024-03-21,2024-04-20,
9987013,Capilla del Monte INTA,984.0,-30.86,-64.52,2024-03-21,2024-04-20,
85033,Guayaramerin - Aeropuerto,130.0,-10.82,-65.35,2024-03-21,2024-04-20,
85043,Riberalta - Aeropuerto,141.0,-11.01,-66.08,2024-03-21,2024-04-20,
85104,San Joaquin - Aeropuerto,139.0,-13.05,-64.67,2024-03-21,2024-04-20,
85109,San Ramon - Aeropuerto,139.0,-13.26,-64.61,2024-03-21,2024-04-20,
85114,Magdalena - Aeropuerto,141.0,-13.26,-64.06,2024-03-21,2024-04-20,
85123,Santa Ana de Yacuma - Aerop,144.0,-13.76,-65.43,2024-03-21,2024-04-20,
85140,Reyes,280.0,-14.3,-67.35,2024-03-21,2024-04-20,
85141,Rurrenabaque - Aeropuerto,204.0,-14.43,-67.5,2024-03-21,2024-04-20,
85152,San Borja - Aeropuerto,194.0,-14.86,-66.74,2024-03-21,2024-04-20,
